open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1755466200000,117660.6,117800.0,117629.3,117735.0,64748,1755467999999,55.00802799,2299,31928,27.12659838,0
1755468000000,117735.0,117897.1,117708.0,117783.1,233045,1755469799999,197.80395027,6457,114186,96.91994794,0
1755469800000,117783.0,118016.0,117783.0,117976.0,226896,1755471599999,192.39734713,3934,145367,123.25567053,0
1755471600000,117976.1,117998.0,117512.0,117581.6,295446,1755473399999,250.93886303,5276,85016,72.19709688,0
1755473400000,117581.5,117634.6,117400.0,117432.1,148191,1755475199999,126.10245012,4563,59019,50.21608102,0
1755475200000,117432.0,117572.0,117100.0,117172.3,650251,1755476999999,554.24662067,12861,218051,185.76916652,0
1755477000000,117172.3,117383.5,117031.3,117312.4,319084,1755478799999,272.26087373,11522,130010,110.91579994,0
1755478800000,117312.3,117428.4,116676.9,116690.1,953745,1755480599999,815.06942768,14656,270577,231.08885608,0
1755480600000,116690.0,116947.5,116179.1,116276.4,1876772,1755482399999,1610.97781132,30128,817318,701.36458263,0
1755482400000,116276.3,116350.4,115750.0,115810.1,1564711,1755484199999,1348.85500696,20054,487824,420.53318256,0
1755484200000,115810.0,116087.3,115329.0,115458.2,1297460,1755485999999,1122.09745880,16776,562072,486.20024110,0
1755486000000,115458.2,115651.6,115336.9,115372.1,563938,1755487799999,488.33002141,8259,280268,242.67696732,0
1755487800000,115372.1,115441.9,115000.1,115330.4,1052027,1755489599999,913.05943757,14237,424502,368.40121175,0
1755489600000,115330.4,115461.6,115091.1,115449.3,502340,1755491399999,435.73648527,7560,255637,221.72397886,0
1755491400000,115449.3,115544.9,115395.7,115490.2,219158,1755493199999,189.78025914,3649,128221,111.03541537,0
1755493200000,115490.2,115697.5,115490.2,115586.1,202884,1755494999999,175.45290579,3022,109420,94.63491790,0
1755495000000,115586.2,115695.0,114995.0,115695.0,576563,1755496799999,500.10457107,9253,260047,225.53729131,0
1755496800000,115695.0,115724.0,115048.2,115194.1,729256,1755498599999,632.13935927,12568,283403,245.65513213,0
1755498600000,115194.0,115372.8,114888.9,115266.1,828718,1755500399999,719.96599591,13131,407497,353.96685223,0
1755500400000,115266.1,115483.3,115219.4,115369.2,317685,1755502199999,275.36808304,8162,123479,107.03320839,0
1755502200000,115369.2,115484.0,115203.7,115217.0,214901,1755503999999,186.30438562,5332,131668,114.15038975,0
1755504000000,115217.1,115379.7,115077.9,115345.0,268545,1755505799999,233.12020442,5963,140362,121.84555911,0
1755505800000,115345.0,115412.0,115124.1,115148.0,442876,1755507599999,384.17763043,4796,212849,184.61292674,0
1755507600000,115148.0,115148.0,114575.0,114698.4,1185656,1755509399999,1032.55163470,10814,463395,403.48744952,0
1755509400000,114698.4,115159.6,114663.1,115059.5,818755,1755511199999,712.53215599,10585,516948,449.92626208,0
1755511200000,115059.8,115283.7,115015.0,115015.0,418179,1755512999999,363.17025947,6088,286111,248.45941814,0
1755513000000,115015.0,115286.6,115015.0,115087.9,107448,1755514799999,93.29547575,2897,46822,40.66399211,0
1755514800000,115087.8,115160.4,114944.1,115005.4,218316,1755516599999,189.76224190,2584,76895,66.82015152,0
1755516600000,115006.0,115043.0,114880.8,114967.1,186752,1755518399999,162.41668932,2809,99638,86.65845941,0
1755518400000,114967.1,115208.7,114926.1,115147.8,124000,1755520199999,107.72264475,3232,66121,57.44457344,0
1755520200000,115147.9,115538.3,115102.0,115538.3,329630,1755521999999,285.85760712,6362,220198,190.95391791,0
1755522000000,115538.3,115688.0,115437.3,115649.1,621460,1755523799999,537.70823964,7106,339564,293.77704408,0
1755523800000,115649.1,115738.0,114809.8,114832.9,864362,1755525599999,749.54363622,15459,291210,252.46074002,0
1755525600000,114837.5,115525.9,114837.5,115377.4,724635,1755527399999,628.94799311,12147,484545,420.50982525,0
1755527400000,115377.4,115631.9,114911.9,115631.8,491052,1755529199999,426.16543610,9934,151806,131.72540217,0
1755529200000,115631.9,115715.7,115400.0,115626.3,314655,1755530999999,272.21047629,7282,159253,137.77302356,0
1755531000000,115626.4,116185.6,115538.0,116148.2,821815,1755532799999,708.66145370,11139,486758,419.73923386,0
1755532800000,116148.1,116366.8,115985.3,116040.9,473930,1755534599999,407.92162158,10039,252908,217.63471673,0
1755534600000,116040.0,116261.7,115802.8,115964.3,630768,1755536399999,543.71972636,8170,196316,169.10671628,0
1755536400000,115964.3,116716.4,115964.3,116537.1,682831,1755538199999,586.47043098,7884,474507,407.53390835,0
1755538200000,116537.2,116820.0,116425.0,116425.0,670554,1755539999999,574.74711065,9168,349407,299.45602679,0
1755540000000,116425.0,116464.0,116206.6,116354.0,377373,1755541799999,324.40442084,4687,64271,55.23930286,0
1755541800000,116354.1,116594.4,116354.1,116490.4,223540,1755543599999,191.92399855,3310,146662,125.92126956,0
1755543600000,116490.5,116647.9,116201.2,116355.6,242729,1755545399999,208.55330856,5025,114372,98.24941635,0
1755545400000,116355.5,116409.4,116220.4,116322.3,265412,1755547199999,228.15960370,4098,140136,120.44266715,0
1755547200000,116323.9,116512.0,116236.2,116512.0,152867,1755548999999,131.36146937,2590,86784,74.58347024,0
1755549000000,116512.0,116538.4,115988.0,116410.7,244858,1755550799999,210.67461123,4845,107427,92.42750923,0
1755550800000,116410.7,116696.0,116410.7,116667.9,135785,1755552599999,116.53340768,2667,91714,78.71394586,0
1755552600000,116667.9,116678.0,116454.1,116661.9,101511,1755554399999,87.08832998,2162,56857,48.78768321,0
1755554400000,116662.0,117000.1,116662.0,116945.3,439886,1755556199999,376.42048990,5334,331702,283.87646625,0
1755556200000,116945.4,116951.2,116400.0,116400.1,212742,1755557999999,182.42418050,2870,40170,34.43886878,0
1755558000000,116400.1,116566.5,116282.1,116282.2,165061,1755559799999,141.77878689,2759,90277,77.53821733,0
1755559800000,116282.2,116344.1,116100.0,116235.2,104179,1755561599999,89.63591720,2683,45049,38.76386730,0
1755561600000,116236.4,116317.4,115926.7,115926.7,450172,1755563399999,387.73438896,6821,145558,125.31781598,0
1755563400000,115925.4,116580.0,115526.8,116580.0,641541,1755565199999,552.83831971,12085,286847,247.01052320,0
1755565200000,116579.9,116755.6,116221.2,116221.3,228827,1755566999999,196.32823552,6014,115098,98.73248659,0
1755567000000,116221.2,116221.2,115730.3,115816.0,366079,1755568799999,315.62670983,7927,126998,109.54646083,0
1755568800000,115816.4,115947.8,115656.0,115836.1,212586,1755570599999,183.61700696,5808,103478,89.36527315,0
1755570600000,115836.1,116065.0,115728.7,115762.8,127312,1755572399999,109.84564905,4493,69076,59.59602585,0
1755572400000,115762.9,115784.0,115276.8,115373.6,617092,1755574199999,534.35141207,10104,173339,150.03796582,0
1755574200000,115373.5,115373.5,114784.3,114799.8,670779,1755575999999,583.35955577,11475,254538,221.43157748,0
1755576000000,114799.8,115034.5,114355.0,114890.1,966836,1755577799999,842.85145463,16657,479205,417.61184312,0
1755577800000,114890.1,115371.5,114890.0,115304.5,296586,1755579599999,257.58682786,5998,177658,154.31643952,0
1755579600000,115304.6,115475.4,115121.9,115376.6,284037,1755581399999,246.31057824,6900,139897,121.29382952,0
1755581400000,115376.6,115407.5,114934.7,114959.5,307045,1755583199999,266.80686944,5561,132183,114.83242991,0
1755583200000,114959.6,115212.6,114892.1,115123.3,263031,1755584999999,228.71381609,5368,118084,102.67569082,0
1755585000000,115123.9,115123.9,114911.8,115000.1,176514,1755586799999,153.50626615,3953,71085,61.82120719,0
1755586800000,115000.1,115048.2,114645.2,114698.6,266813,1755588599999,232.42732808,5645,104288,90.83646504,0
1755588600000,114698.6,115014.7,114611.0,114975.0,264750,1755590399999,230.60483430,5306,157649,137.28234836,0
1755590400000,114977.8,115098.2,114789.1,114959.3,172376,1755592199999,149.94062281,4256,77131,67.08307426,0
1755592200000,114958.4,115299.8,114800.0,115195.5,147667,1755593999999,128.32888176,4756,89925,78.14985920,0
1755594000000,115195.4,115433.3,115188.5,115431.8,250238,1755595799999,216.96974962,5233,160875,139.47633960,0
1755595800000,115431.7,115499.4,115265.6,115332.2,187144,1755597599999,162.16808721,4207,102845,89.11930417,0
1755597600000,115332.3,115582.8,115319.9,115512.0,134297,1755599399999,116.30788651,3679,84732,73.38759330,0
1755599400000,115512.0,115530.4,115319.5,115389.0,131639,1755601199999,114.05552534,3684,67889,58.82448306,0
1755601200000,115389.9,115645.4,115389.9,115558.0,124115,1755602999999,107.40412314,2835,69058,59.75540068,0
1755603000000,115558.0,115581.4,115462.0,115506.1,55961,1755604799999,48.44071714,1897,25303,21.90445329,0
1755604800000,115506.0,115600.0,115404.8,115480.9,78596,1755606599999,68.05050311,2525,34227,29.63588036,0
1755606600000,115479.6,115581.2,115244.3,115581.2,314430,1755608399999,272.44308672,4518,162883,141.07092000,0
1755608400000,115581.2,115777.5,115490.8,115738.3,145930,1755610199999,126.21260941,4031,81538,70.51471737,0
1755610200000,115738.4,115868.0,114857.4,115168.0,1074285,1755611999999,931.86599086,21382,396761,344.26168463,0
1755612000000,115170.0,115356.2,114100.0,114112.1,1196274,1755613799999,1043.71876847,18035,460364,401.78737855,0
1755613800000,114112.1,114439.2,113716.1,113851.1,2559441,1755615599999,2245.18013009,28790,1291764,1132.94489772,0
1755615600000,113851.1,114149.3,113513.5,114046.0,1713933,1755617399999,1506.54255288,21655,772264,678.67689963,0
1755617400000,114045.9,114100.0,113668.6,113737.8,488296,1755619199999,428.70812874,8779,187240,164.39395937,0
1755619200000,113738.0,113842.0,113583.0,113596.0,412962,1755620999999,363.10794996,7253,186089,163.60669073,0
1755621000000,113596.0,113784.4,113278.8,113336.6,951344,1755622799999,838.47418919,15120,359448,316.78681766,0
1755622800000,113333.0,113436.7,113032.7,113372.8,766997,1755624599999,677.33300259,12844,296549,261.83614736,0
1755624600000,113372.7,113537.1,113241.0,113467.9,210169,1755626399999,185.30343986,5281,113624,100.18979202,0
